,image_name,max_laplacian,mean_laplacian,cpcb,motion
0,blurry5.jpg,11,8,31,364
1,blurry4.jpeg,515,320,118,0
2,images (1).jpeg,1523,542,444,0
3,front_face (1).jpg,4698,2298,612,163
4,focal.jpeg,1409,429,250,0
5,blurr6.jpg,189,40,70,5
6,blurry1.jpg,728,225,771,225
7,ec_1194-jpg-300x250.jpg,3041,1091,390,111
8,blurry3.jpg,7,4,3,0
9,multiple.jpg,663,356,324,13
10,Sharpen-Master.jpg,3450,1125,606,40
11,La-Movida.jpg,741,351,564,80
12,moved2_2.png,641,178,150,18
13,1366_2000.jpg,1235,544,645,75
14,front_face.jpg,10,5,0,0
15,blurry2.jpg,806,278,544,60
16,restaurant.jpg,3612,2199,693,466
17,friends.jpg,502,202,384,12
18,image.jpg,719,308,452,42
19,images.jpeg,344,111,12,0
20,moved2.jpg,575,217,178,15
21,open_closed_eyes.jpg,1498,723,557,106
22,moved1.jpg,129,52,193,7
